date,week,dow,smh1,drac1,eyb1,gre1,gre2
2008-10-27,44,1,1190,347,382,734,1535
2008-10-28,44,2,520,74,126,240,765
2008-10-29,44,3,651,89,117,297,907
2008-10-30,44,4,929,190,245,530,1310
2008-10-31,44,5,744,120,211,419,1085
2008-11-01,44,6,639,405,220,297,638
2008-11-02,44,7,1283,659,408,480,787
2008-11-03,45,1,2372,418,468,873,1725
2008-11-04,45,2,2454,335,380,888,1877
2008-11-05,45,3,2427,313,408,918,1923
2008-11-06,45,4,2548,348,443,1156,2140
2008-11-07,45,5,2394,378,449,1118,2191
2008-11-08,45,6,1092,488,363,620,943
2008-11-09,45,7,828,428,282,523,788
2008-11-10,46,1,2151,457,393,851,1380
2008-11-11,46,2,460,162,110,203,441
2008-11-12,46,3,1458,101,171,580,1261
2008-11-13,46,4,2242,204,353,912,2000
2008-11-14,46,5,2158,233,355,857,1951
2008-11-15,46,6,709,337,240,528,805
2008-11-16,46,7,745,420,220,388,755
2008-11-17,47,1,2544,348,437,1087,2099
2008-11-18,47,2,2400,291,352,1038,2195
2008-11-19,47,3,2472,300,437,1054,2114
2008-11-20,47,4,2619,344,380,959,2264
2008-11-21,47,5,1802,184,287,752,1775
2008-11-22,47,6,572,132,129,269,738
2008-11-23,47,7,842,353,238,336,706
2008-11-24,48,1,1866,164,222,778,1561
2008-11-25,48,2,2162,206,332,901,1889
2008-11-26,48,3,2067,257,361,936,1774
2008-11-27,48,4,1097,332,364,1046,1986
2008-11-28,48,5,560,105,173,593,952
2008-11-29,48,6,198,130,113,279,336
2008-11-30,48,7,392,287,217,360,374
2008-12-01,49,1,855,114,242,643,779
2008-12-02,49,2,1013,217,272,820,996
2008-12-03,49,3,860,160,260,758,864
2008-12-04,49,4,1090,182,256,723,908
2008-12-05,49,5,791,162,181,688,781
2008-12-06,49,6,218,124,129,250,311
2008-12-07,49,7,267,288,178,312,295
2008-12-08,50,1,1286,280,341,881,1368
2008-12-09,50,2,1967,149,252,852,1921
2008-12-10,50,3,1221,67,155,507,1233
2008-12-11,50,4,1270,104,173,587,1479
2008-12-12,50,5,1428,129,213,633,1550
2008-12-13,50,6,430,208,180,317,683
2008-12-14,50,7,368,169,89,209,575
2008-12-15,51,1,1707,189,298,866,1686
